Hallo
Mutter
Großeltern
Großvater
Großmutter
Opa
Oma
Kind
Baby
Junge
Mädchen
Sohn
Tochter
Enkel
Enkelin
Enkelkind
Geschwister
Bruder
Schwester
Onkel
Tante
Neffe
Nichte
Cousin
Cousine
Schwager
Schwägerin
Schwiegervater
Schwiegermutter
Mann
Frau
Beruf
Altenpfleger
Altenpflegerin
Architekt
Architektin
Arzt
Ärztin
Bürokaufmann
Bürokauffrau
Informatiker
Informatikerin
Journalist
Journalistin
Lehrer
Lehrerin
Putzmann
Putzfrau
Verkäufer
Verkäuferin
Werbefachmann
Werbefachfrau
Haushalt machen
kochen
backen
Frühstück machen
Tisch decken
aufstehen
wecken
Kinder betreuen
frei haben
nomen
Au-pair
Grafik
Zeichnung
Prozent
Problem
Schule
essen
trinken
besprechen
erzählen
kosten
tun
vergleichen
alt
schnell
günstig
anders
oft
immer
fast
möglich
nicht mehr
nebenan
gegenüber
alles
Wenig
Wie viel
Wie viele
Geht das?
Alles klar
ich muss schluss machen
im Haus
zu Hause
Sportart
joggen
Jogging
laufen
Rad
Fahrrad
Mountainbike
Radfahren
Gymnastik
Rückengymnastik
Gymnastik machen
rudern
reiten
schwimmen
Badminton
Fußball
Handball
Tennis
Tischtennis
turnen
Turnen
Hobby
Theater
Kino
Oper
Fernsehen
Fernsehen schauen
Musik
Musik hören
Gitarre
Gitarre spielen
Klavier
Klavier spielen
tanzen
Salsa
zeichnen
Tour
Tour machen
Sport
Mannschaftssport
Individualsport
treiben
Treiben
Sport treiben
fit sein
Verein
Sportverein
Fitness-Studio
Halle
Sporthalle
Mannschaft
Spiel
Spieler
Spielerin
spielen
mitspielen
Profi
Fan
Training
Probetraining
Fitnesstraining
trainieren
Muskelkater
Triathlon
Triathlet
Triathletin
Marathon
Start
starten
Startgeld
Ziel
Sieg
Sieger
Siegerin
Strecke
Rekord
Platz
Abkürzung
Anzeige
Buch
Flyer
Überschrift
Zeitung
Zeitungartikel
Kind
Jugendliche
Erwachsene
Rentner
Rentnerin
Publikum
Applaus
Anmeldung
Beitrag
Jahresbeitrag
Mitgliedsbeitrag
Ermäßigung
Gefühl
fühlen
Interesse
Kilometer
Kontakt
Minute
Sekunde
Organisator
Sache
Schuh
Schüler
Schülerin
Sofa
bekommen
bezahlen
erlauben
fahren
feiern
klappen
klingen
mitkommen
motivieren
organisieren
passieren
putzen
schaffen
schlafen
schauen
sehen
stürzen
suchen
treffen
wissen
wünschen
begeistert
blöd
fit
glücklich
zufrieden
unzufrieden
intensive
optimal
wunderbar
monatlich
jährlich
gleich
lang
offen
regelmäßig
positiv
negativ
allein
allein
gern
lieber
ganz
jetzt
so
wieder
andere
man
ab
beim
nach
per
warum
Haus
Hausmeister
Stock
Wohnung
Apartment
Gemeinschaft
Wohngemeinschaft
Bewohner
Bewohnerin
Mitbewohner
Mitbewohnerin
Miete
Mieter
Mieterin
Vermieter
Vermieterin
mieten
Mietvertrag
Interessent
Interessentin
Eingang
Flur
Zimmer
Küche
Bad
Badewanne
Dusche
Toilette
Balkon
Fenster
Quadratmeter
Makler
Maklerin
Altstadt
einziehen
ausziehen
einrichten
Größe
Möbel
Bett
Matratze
Kommode
Lampe
Regal
Schrank
Kleiderschrank
Sessel
Stuhl
Tisch
Küchentisch
Schreibtisch
Holz
Glas
Kunststoff
Metall
Erkältung
Internet
Leute
Nachricht
Rolle
Stau
Thema
Überraschung
abholen
aufmachen
ausgehen
ausschneiden
Heizung
anrufen
zurückrufen
anschauen
nachschauen
aussehen
benutzen
beschreiben
bleiben
dauern
denken
duschen
erreichen
glauben
informieren
mitbringen
mitfahren
wegfahren
weiterfahren
reden
regnen
reparieren
sitzen
stehen
suchen
verbringen
vergessen
verwenden
wechseln
zurückmailen
billig
preiswert
teuer
brauchen
neu
modern
klein
groß
breit
schmal
hoch
niedrig
einzeln
frei
gesund
krank
kalt
leer
richtig
schlimm
separat
verzweifelt
früh
spät
bald
dann
endlich
gestern
heute
morgen
gar nicht
nicht
da
dort
lange
prima
sofort
vielleicht
ziemlich
zu
andere
anderer
aus
bei
bis
Kleidungsstück
Hose
Jeans
Pullover
Sweatshirt
T-shirt
Mantel
Jacke
Weste
Anzug
Hemd
Bluse
Kleid
Rock
Badeanzug
Badehose
Nachthemd
Schlafanzug
Unterhemd
Unterhose
Socke
Strumpf
Strumpfhose
Gürtel
Krawatte
Handschuh
Schal
Hut
Mütze
Tasche
ein Paar
ein paar
Farbe
beige
blau
braun
gelb
grau
grün
lila
orange
rosa
rot
schwarz
türkis
weiß
hell
hellblau
dunkel
dunkelblau
Material
Baumwolle
Leder
waschen
Wäsche
Wäscherei
Waschkorb
Maschine
Waschmaschine
Programm
Waschprogramm
Waschpulver
Waschsalon
waschen
Trockner
trocknen
Anleitung
Automat
Kassenautomat
anmachen
öffnen
schließen
zumachen
sortieren
umdrehen
füllen in
wählen
drücken
einlaufen
Angst
Anweisung
Aufforderung
Bekannte
Beschreibung
Bitte
Copyshop
Espresso
Tee
Entschuldigung
Gedicht
Inhaber
Inhaberin
Job
Kasse
Kantine
Kopie
Liste
Lösung
Neuigkeit
Notiz
Paar
Platz
Schwächling
Situation
Snack
Traum
Tür
Veranstaltung
Vermutung
Vetter
Vorschlag
Beschreibung
Wegbeschreibung
Wunsch
Zeile
anfangen
anprobieren
anstoßen
aufpassen
ausführen
bedeuten
bringen
klicken
eingeben
einladen
entschuldigen
erklären
fernsehen
festhalten
helfen
holen
kopieren
lächeln
mailen
nachfragen
nehmen
nennen
sagen
stoppen
surfen
träumen
vermuten
versuchen
warten
fertig
freundlich
herzlich
höflich
klasse
kulturell
kurz
lang
langsam
nass
trocken
passend
professionell
sauber
vorsichtig
warm
gleich
nie
nun
später
wirklich
zuerst
ja
mal
doch
alles
alle
Verkehrsmittel
Bahn
Bus
Fahrrad
Velo
StraßenBahn
Tram
zu fuß gehen
abbiegen
halten
aussteigen
umsteigen
Bahnhof
Fahrkarte
Automat
Fahrkartenautomat
Tageskarte
Ort
Standort
Ecke
Touristeninformation
Attraktion
Sehenswürdigkeit
Führung
Gebäude
Glocke
Glockenspiel
kirche
Kuppel
Münster
Parlament
Regierung
Tor
Turm
besichtigen
Stadtplan
Gasse
Weg
Kreuzung
Platz
einzeichnen
Wegbeschreibung
hier
dort
weiter
geradeaus
rechts
links
bis zur kreuzung
über die kreuzung
Malerei
Kunst
Bild
Künstler
Künstlerin
Kunstakademie
Kunstschule
Maler
Malerin
Appetit
Bär
Biografie
Blume
Dank
Ehepaar
Eingang
Einladung
Einkaufszentrum
Ende
Fehler
Gegenwart
Vergangenheit
Zukunft
Geld
Geschenk
Geschichte
Party
Haupt
Hauptsehenswürdigkeit
Ideologie
Kärtchen
Leben
Moment
Professor
Professorin
Region
Reihenfolge
Reise
Reiseführer
Sitte
Steuer
Stimmung
Stress
Symbol
Würstchen
beenden
dabeihaben
danken für
entlassen
erhalten
gehören
grillen
heiraten
lachen
leben
reisen
schmecken
sterben
studieren
tippen
eintippen
unterrichten
zurückgehen
astronomisch
abstrakt
aggressiv
berühmt
bunt
direkt
einfach
fröhlich
lustig
original
peinlich
traurig
verärgert
voll
weit
bestimmt
vorher
alle
etwas
nichts
bei
für
durch
mit
um
von
zu
Auflauf
Suppe
Huhn
Hühnerfleisch
Lammfleisch
Schweinefleisch
Braten
Tafelspitz
Schnitzel
Forelle
Filet
Erdapfel
Rösterdäpfel
Kloß
Knödel
Knoblauch
Kraut
Paradeiser
Fladenbrot
Semmel
Öl
Nuss
Palatschinke
Sauce
Schlagobers
Torte
Topfenstrudel
Quarkstrudel
Vanilleeis
Zitrone
Bier
Birne
Birnensaft
Cola
bitter
salzsig
süß
scharf
sauer
fett
vegetarisch
Lokal
Speise
Vorspeise
Hauptspeise
Nachspeise
Hauptgericht
Dessert
Speisekarte
Gast
Kellner
Kellnerin
Rechnung
Trinkgeld
geschlossen
geöffnet
reservieren
auswählen
bestellen
genießen
servieren
Gabel
Löffel
Messer
Teller
Tasse
Glas
Topf
Serviette
Gericht
Rezept
Zubereitung
Zutat
Prise
anbraten
pürieren
schälen
würfeln
würzen
Ablehnung
Zustimmung
Gegenteil
Hilfe
Idee
Klingelton
Kohlensäure
Liebling
Mittag
Person
Portion
Punkt
Radio
Rest
Station
Summe
ablehnen
eröffnen
schließen
gewinnen
lieben
plaudern
probieren
ausprobieren
umstoßen
verschicken
wegwerfen
zahlen
automatisch
getrennt
zusammen
köstlich
lecker
laut
leise
natürlich
natürlich
voll
gerne
gern
lieber
am liebsten
ein bisschen
draußen
drinnen
überall
ohne
mit
pro
los
tut mir leid
vergleichen
